item_id,title,series_name,vol_no,edition_type,special_benefits,author,publisher,release_date,price,rating,sales_point,rank,collected_at
396695286,루리 드래곤 5 (한정판),루리 드래곤,5,한정판,"- 일러스트 아크릴 누들 스토퍼 + 일러스트 스티커 + 스페셜 일러스트 카드 6종+ <루리 드래곤> 5권 초판 + 초판특전(일러스트 카드, 일러스트 스탠딩 POP)",신도 마사오키,서울미디어코믹스(서울문화사),2026-06,29700,,4090,742,2026-09-07T08:54:48+09:00
355295880,약사의 혼잣말 14,약사의 혼잣말,14,,,네코쿠라게,학산문화사(만화),2025-01,5400,9.6,3868,743,2026-09-07T08:54:48+09:00
396049036,담배 고양이 4,담배 고양이,4,,,냥냥 팩토리,대원씨아이(만화),2026-06,5400,10.0,3810,744,2026-09-07T08:54:48+09:00
323272460,블루 록 18,블루 록,18,,,노무라 유스케,학산문화사(만화),2023-08,5400,9.6,3589,745,2026-09-07T08:54:48+09:00
225770299,달빛천사 애장판 1,달빛천사 애장판,1,,,타네무라 아리나,서울미디어코믹스(서울문화사),2020-01,8550,9.5,3626,746,2026-09-07T08:54:48+09:00
370424575,사카모토 데이즈 22,사카모토 데이즈,22,,- 텐큐vs신,스즈키 유우토,대원씨아이(만화),2025-08,5850,,3324,747,2026-09-07T08:54:48+09:00
225772243,달빛천사 애장판 2,달빛천사 애장판,2,,,타네무라 아리나,서울미디어코믹스(서울문화사),2020-01,8550,10.0,3577,748,2026-09-07T08:54:48+09:00
329600458,약사의 혼잣말 1,약사의 혼잣말,1,,,네코쿠라게,학산문화사(만화),2019-12,5400,8.0,3356,749,2026-09-07T08:54:48+09:00
391205558,황천의 츠가이 9,황천의 츠가이,9,,,아라카와 히로무,대원씨아이(만화),2025-11,5850,,3435,750,2026-09-07T08:54:48+09:00
372904974,인간실격 무삭제판 1~3 세트- 전3권,인간실격 무삭제판 1~3 세트- 전3권,,,,이토 준지,미우(대원씨아이),2020-08,34560,,3222,751,2026-09-07T08:54:48+09:00
175995181,20세기 소년 완전판 1,20세기 소년 완전판,1,,,우라사와 나오키,학산문화사(만화),2018-12,10800,9.2,3160,752,2026-09-07T08:54:48+09:00
374998765,GACHIAKUTA 15,GACHIAKUTA,15,,- 일반판,케이 우라나,학산문화사(만화),2025-10,5400,,3139,753,2026-09-07T08:54:48+09:00
390937400,유치원WARS 16,유치원WARS,16,,"- 초판특전: 스탠딩 pop, 일러스트 카드",You Chiba,서울미디어코믹스(서울문화사),2026-04,5400,10.0,3163,754,2026-09-07T08:54:48+09:00
390243150,장송의 프리렌 12,장송의 프리렌,12,,,야마다 카네히토,학산문화사(만화),2024-07,6300,,3134,755,2026-09-07T08:54:48+09:00
391205551,황천의 츠가이 8,황천의 츠가이,8,,,아라카와 히로무,대원씨아이(만화),2025-06,5850,,3190,756,2026-09-07T08:54:48+09:00
295225057,귀멸의 칼날 11,귀멸의 칼날,11,,,고토게 코요하루,학산문화사(만화),2019-10,5400,,3036,757,2026-09-07T08:54:48+09:00
393514967,아름다운 인체 그리기 레슨,아름다운 인체 그리기 레슨,,,,후지타쿠,한즈미디어(한스미디어),2026-05,16200,9.7,3060,758,2026-09-07T08:54:48+09:00
394214214,전희 서바이벌 사가 2,전희 서바이벌 사가,2,,,OTOSAMA,오팬스코믹,2026-05,6300,9.8,2885,759,2026-09-07T08:54:48+09:00
385950289,마도정병의 슬레이브 19,마도정병의 슬레이브,19,,,타케무라 요헤이,대원씨아이(만화),2026-02,5400,10.0,2853,760,2026-09-07T08:54:48+09:00
397015748,어떤 여름방학,어떤 여름방학,,,,궁리(박조은),휴머니스트,2026-06,19800,,2975,761,2026-09-07T08:54:48+09:00
393313418,고블린 슬레이어 17,고블린 슬레이어,17,,- SL Comic,쿠로세 코스케,디앤씨미디어(주)(D&C미디어),2026-05,6300,10.0,2825,762,2026-09-07T08:54:48+09:00
329600924,약사의 혼잣말 2,약사의 혼잣말,2,,,네코쿠라게,학산문화사(만화),2019-12,5400,,2880,763,2026-09-07T08:54:48+09:00
399291548,새내기 4,새내기,4,,,혁대,블루픽,2026-07,14220,10.0,2720,764,2026-09-07T08:54:48+09:00
399953550,데스마치에서 시작되는 이세계 광상곡 34,데스마치에서 시작되는 이세계 광상곡,34,,"- L Novel /초판 한정 특전 : 띠지, 책갈피",아이나나 히로,디앤씨미디어(주)(D&C미디어),2026-08,9900,,2650,765,2026-09-07T08:54:48+09:00
320691848,먼작귀 3,먼작귀,3,,- 먼가 작고 귀여운 녀석,나가노,미우(대원씨아이),2023-02,10800,,2721,766,2026-09-07T08:54:48+09:00
331008605,약사의 혼잣말 4,약사의 혼잣말,4,,,네코쿠라게,학산문화사(만화),2019-12,5400,6.0,2661,767,2026-09-07T08:54:48+09:00
329259067,약사의 혼잣말 5,약사의 혼잣말,5,,,네코쿠라게,학산문화사(만화),2020-01,5400,,2638,768,2026-09-07T08:54:48+09:00
101106033,스파이더맨 / 데드풀 VOL. 1 : 브로맨틱하지 않나요?,스파이더맨 / 데드풀 VOL. 1 : 브로맨틱하지 않나요?,,,,조 켈리,시공사(만화),2017-01,10800,6.0,2560,769,2026-09-07T08:54:48+09:00
387254200,요괴소년 호야 완전판 1,요괴소년 호야 완전판,1,,,후지타 카즈히로,서울미디어코믹스(서울문화사),2026-02,14400,9.0,2567,770,2026-09-07T08:54:48+09:00
323998705,먼작귀 4,먼작귀,4,,- 먼가 작고 귀여운 녀석,나가노,미우(대원씨아이),2023-09,10800,9.8,2262,771,2026-09-07T08:54:48+09:00
400138794,이번 생은 가주가 되겠습니다 2부 6,이번 생은 가주가 되겠습니다 2부,6,,- 만화,앤트스튜디오,디앤씨웹툰비즈,2026-08,14400,,2330,772,2026-09-07T08:54:48+09:00
388295960,얼음 성벽 13,얼음 성벽,13,,,아가사와 코챠,학산문화사(만화),2026-03,9000,10.0,2444,773,2026-09-07T08:54:48+09:00
301570726,나루토 Naruto 43,나루토 Naruto,43,,,키시모토 마사시,대원씨아이(만화),2008-12,5400,10.0,2280,774,2026-09-07T08:54:48+09:00
388121581,봄바람의 에트랑제 6,봄바람의 에트랑제,6,,- 뉴 루비코믹스 3149,키이 칸나,현대지능개발사,2026-03,5400,10.0,2368,775,2026-09-07T08:54:48+09:00
